unique_item_id,used_list_price,used_condition,department,category,item_parent_sku,color,size,msrp_new,last_known_retail_price_new,first_approved_date,first_ordered_date
274205,32.6058,Great,Outdoor Storage,Boxes,105698,Gray,6,166.5,42.85105,2018-06-02T00:00:00,2018-10-26T00:00:00
302363,69.7128,Perfect,Kitchen and Dining,Forks,130163,Blue,10,89.955,,2018-08-03T00:00:00,2018-08-07T00:00:00
274469,29.76,Great,Kids Furniture,Desks,126395,White,S,93.5,41.83,2018-06-04T00:00:00,2018-08-23T00:00:00
281733,17.6049,Perfect,Kitchen and Dining,Spoons,719843,Blue,M,24.255,18.63455,2018-06-17T00:00:00,2018-06-18T00:00:00
275036,41.256,Great,Outdoor Storage,Envelopes,848420,Gray,11,89.955,46.68455,2018-06-04T00:00:00,2018-08-13T00:00:00
280602,91.7352,Perfect,Outdoor Storage,Shelves,103761,Blue,10,117.0,93.43455,2018-06-16T00:00:00,2018-06-21T00:00:00
288522,60.2424,Perfect,Outdoor Storage,Boxes,153706,Black,10,90.0,,2018-07-02T00:00:00,2018-10-11T00:00:00
298578,24.7212,Perfect,Kids Furniture,Desks,119206,Blue,XL,42.9,26.93,2018-07-23T00:00:00,2018-07-25T00:00:00
295647,111.6,Perfect,Kids Storage,Boxes,789686,Brown,11,216.0,,2018-07-19T00:00:00,2018-07-20T00:00:00
279818,173.3616,Great,Kids Furniture,Rugs,104835,Black,M,385.0,209.83,2018-06-11T00:00:00,2018-10-29T00:00:00
314294,72.3384,Perfect,Outdoor Storage,Boxes,156779,Brown,10,108.0,,2018-09-01T00:00:00,2018-10-13T00:00:00
278687,132.4878,Perfect,Kitchen and Dining,Spoons,126617,Blue,Re,170.955,,2018-07-09T00:00:00,2018-07-10T00:00:00
303719,31.3503,Perfect,Kitchen and Dining,Spoons,829826,Gray,Re,40.455,,2018-08-06T00:00:00,2018-08-17T00:00:00
297033,48.8994,Perfect,Kids Storage,Envelopes,151460,Green,11,85.5,,2018-07-20T00:00:00,2018-08-19T00:00:00
307322,30.8664,Perfect,Kids Furniture,Chairs,124183,Black,S,131.945,,2018-08-17T00:00:00,2018-10-12T00:00:00
318220,46.17,Great,Kids Storage,Bags,897408,Gray,44,85.5,,2018-09-09T00:00:00,2018-09-10T00:00:00
324630,72.8568,Great,Kitchen and Dining,Spoons,111260,Blue,Lo,89.955,,2018-09-23T00:00:00,2018-09-30T00:00:00
277504,159.6564,Great,Kitchen and Dining,Spoons,110926,Blue,Re,197.1,,2018-06-10T00:00:00,2018-08-07T00:00:00
305028,50.1984,Perfect,Kitchen and Dining,Appliances,129537,Red,NO,179.1,45.74955,2018-08-10T00:00:00,2018-08-13T00:00:00
275513,65.3139,Perfect,Kitchen and Dining,Spoons,106816,Red,On,89.1,69.12455,2018-06-05T00:00:00,2018-06-18T00:00:00
287659,55.8,Perfect,Outdoor Storage,Shelves,139591,Black,8.,108.0,,2018-07-01T00:00:00,2018-07-24T00:00:00
294531,76.7994,Perfect,Kitchen and Dining,Wine Glasses,895650,Red,S/,157.5,81.27955,2018-07-15T00:00:00,2018-08-09T00:00:00
304432,84.4344,Perfect,Furniture,Rugs,103000,Green,XS,154.0,,2018-08-10T00:00:00,2018-10-10T00:00:00
275653,41.8128,Perfect,Kitchen and Dining,Spoons,127388,Green,Re,53.955,,2018-06-05T00:00:00,2018-06-06T00:00:00
301780,26.4708,Perfect,Outdoor Furniture,Side Tables,124523,Gray,0,93.5,28.83,2018-07-30T00:00:00,2018-09-01T00:00:00
305752,26.5464,Perfect,Outdoor Furniture,Desks,144438,Gray,M,49.5,,2018-08-11T00:00:00,2018-09-17T00:00:00
324980,69.6168,OK,Kitchen and Dining,Spoons,105157,Orange,Re,116.955,90.62955,2018-09-23T00:00:00,2018-10-12T00:00:00
283520,127.5372,Perfect,Kids Furniture,Side Tables,118037,Brown,S,218.9,138.93,2018-06-18T00:00:00,2018-08-16T00:00:00
311513,73.8885,Great,Kitchen and Dining,Gadgets,113162,Blue,NO,112.455,86.88955,2018-08-26T00:00:00,2018-08-29T00:00:00
280106,32.7672,Great,Kitchen and Dining,Spoons,829826,Gray,Re,40.455,,2018-07-01T00:00:00,2018-07-02T00:00:00
280123,119.5794,Perfect,Outdoor Storage,Boxes,146798,Black,9.,207.0,,2018-06-16T00:00:00,2018-07-21T00:00:00
306332,48.5568,Perfect,Kitchen and Dining,Spoons,127388,Green,Re,53.955,,2018-08-14T00:00:00,2018-08-14T00:00:00
300991,65.3139,Perfect,Kitchen and Dining,Appliances,884916,Red,NO,134.1,69.12455,2018-07-30T00:00:00,2018-08-02T00:00:00
313938,32.7672,Great,Kitchen and Dining,Spoons,829826,Gray,Re,40.455,,2018-08-31T00:00:00,2018-10-28T00:00:00
283015,22.7943,Perfect,Outdoor Furniture,Chairs,117733,Blue,S,64.9,28.83,2018-06-18T00:00:00,2018-08-17T00:00:00
312376,28.3068,Perfect,Kitchen and Dining,Forks,127195,Gray,NO,31.455,,2018-08-26T00:00:00,2018-08-28T00:00:00
290476,99.0036,Great,Kids Storage,Boxes,126480,Brown,13,189.0,112.04105,2018-07-29T00:00:00,2018-08-10T00:00:00
299830,89.9856,Great,Kids Storage,Bags,141055,Yellow,43,139.5,,2018-07-28T00:00:00,2018-09-20T00:00:00
308958,110.7432,Great,Kitchen and Dining,Spoons,881598,Yellow,Re,143.955,112.13455,2018-08-19T00:00:00,2018-08-21T00:00:00
309069,207.4737,Great,Kitchen and Dining,Spoons,110927,Blue,Re,314.1,243.96955,2018-08-19T00:00:00,2018-08-29T00:00:00
315550,61.7976,Great,Kitchen and Dining,Spoons,129970,Red,Re,80.955,62.57955,2018-09-02T00:00:00,2018-10-13T00:00:00
287011,71.0241,Great,Outdoor Storage,Boxes,855886,Gray,9,179.955,93.34105,2018-07-01T00:00:00,2018-07-22T00:00:00
274177,86.8992,Perfect,Kids Storage,Shelves,113257,Gray,11,134.955,102.78455,2018-06-02T00:00:00,2018-07-19T00:00:00
303703,43.6914,Perfect,Kids Furniture,Side Tables,153599,Black,42,93.5,,2018-08-05T00:00:00,2018-09-23T00:00:00
301411,66.7554,Perfect,Outdoor Storage,Shelves,153622,Gray,9,108.0,,2018-07-31T00:00:00,2018-11-01T00:00:00
287583,25.1658,Perfect,Outdoor Furniture,Side Tables,881059,Green,2,71.5,31.83,2018-07-01T00:00:00,2018-09-19T00:00:00
322542,58.32,Perfect,Outdoor Furniture,Chairs,136389,Blue,S,99.0,,2018-09-17T00:00:00,2018-09-21T00:00:00
296445,51.8754,Perfect,Kids Furniture,Desks,132860,Blue,L,110.0,,2018-07-19T00:00:00,2018-09-27T00:00:00
299728,68.6664,Perfect,Kitchen and Dining,Spoons,127386,Blue,Re,80.955,62.57955,2018-07-27T00:00:00,2018-08-16T00:00:00
304042,49.4208,Perfect,Outdoor Furniture,Rugs,146499,Green,M,119.9,53.83,2018-08-06T00:00:00,2018-10-13T00:00:00
295734,70.2,Perfect,Kids Storage,Boxes,122168,Khaki,10,117.0,,2018-07-16T00:00:00,2018-07-26T00:00:00
307772,25.5744,Perfect,Kitchen and Dining,Spoons,866771,Blue,Re,38.655,23.30955,2018-08-19T00:00:00,2018-08-24T00:00:00
290116,74.9304,Perfect,Kids Storage,Shelves,123918,Gray,12,130.5,,2018-07-06T00:00:00,2018-07-10T00:00:00
301416,96.39,Perfect,Kitchen and Dining,Spoons,107475,Blue,Lo,107.1,,2018-07-31T00:00:00,2018-08-19T00:00:00
290379,22.7943,Perfect,Outdoor Furniture,Side Tables,127067,Gray,8 ,93.445,28.83,2018-07-06T00:00:00,2018-10-15T00:00:00
288888,39.5172,Great,Outdoor Storage,Shelves,124940,Blue,9,108.0,44.72105,2018-07-03T00:00:00,2018-08-15T00:00:00
293455,24.3474,Perfect,Outdoor Furniture,Dining Tables,153846,Khaki,On,52.8,,2018-07-14T00:00:00,2018-10-19T00:00:00
296652,105.3,Perfect,Kids Storage,Shelves,147678,Black,13,175.5,,2018-07-20T00:00:00,2018-10-22T00:00:00
278764,64.5624,Perfect,Kitchen and Dining,Spoons,121292,Gray,NO,80.955,58.83955,2018-06-27T00:00:00,2018-07-02T00:00:00
281701,60.9522,Perfect,Kitchen and Dining,Knives,815254,Purple,NO,82.8,64.50565,2018-06-17T00:00:00,2018-07-26T00:00:00
292463,131.5764,Perfect,Kitchen and Dining,Wine Glasses,878454,Gray,XS,207.0,139.24955,2018-07-12T00:00:00,2018-07-22T00:00:00
288743,31.5642,Perfect,Kids Furniture,Desks,895032,Gray,L,60.5,39.93,2018-07-02T00:00:00,2018-07-03T00:00:00
282742,108.6264,Great,Kitchen and Dining,Spoons,894947,Gray,Lo,134.1,,2018-06-18T00:00:00,2018-06-30T00:00:00
278135,17.6049,Perfect,Kitchen and Dining,Spoons,719843,Blue,M,24.255,18.63455,2018-06-10T00:00:00,2018-06-14T00:00:00
290175,44.1099,Perfect,Kitchen and Dining,Knives,122502,Red,On,90.0,46.68455,2018-07-06T00:00:00,2018-08-22T00:00:00
284688,50.1552,Great,Outdoor Furniture,Desks,141067,Gray,M,94.6,,2018-06-24T00:00:00,2018-07-08T00:00:00
276400,76.8744,Perfect,Kitchen and Dining,Spoons,127386,Blue,Lo,89.955,70.05955,2018-06-05T00:00:00,2018-07-14T00:00:00
315448,15.336,Great,Kids Furniture,Dining Tables,158775,Blue,On,31.9,,2018-09-02T00:00:00,2018-09-07T00:00:00
313971,70.2429,Great,Kitchen and Dining,Spoons,129416,Green,S,179.1,,2018-08-31T00:00:00,2018-09-08T00:00:00
316767,124.8525,Perfect,Kitchen and Dining,Serving Utensils,868867,Black,NO,161.1,,2018-09-03T00:00:00,2018-09-11T00:00:00
294454,63.6984,Perfect,Kids Furniture,Beds,158787,Brown,M,108.9,,2018-07-15T00:00:00,2018-08-26T00:00:00
300798,17.2908,Perfect,Kids Furniture,Dining Tables,895263,Gray,L,42.9,18.83,2018-07-31T00:00:00,2018-08-11T00:00:00
287244,66.2904,Perfect,Kids Storage,Boxes,142278,Black,11,99.0,,2018-06-30T00:00:00,2018-07-01T00:00:00
316839,33.48,Great,Outdoor Storage,Bags,867002,Blue,38,72.0,,2018-09-04T00:00:00,2018-09-04T00:00:00
312517,109.8237,Great,Kitchen and Dining,Spoons,141845,Yellow,Re,157.455,,2018-08-26T00:00:00,2018-08-31T00:00:00
305711,40.7154,Perfect,Outdoor Furniture,Rugs,142578,Purple,XL,121.0,,2018-08-12T00:00:00,2018-10-21T00:00:00
276647,42.3429,Perfect,Kitchen and Dining,Spoons,113905,Gray,Re,58.455,44.81455,2018-06-05T00:00:00,2018-06-10T00:00:00
311844,135.864,Great,Kids Furniture,Rugs,102945,Green,XX,275.0,,2018-08-25T00:00:00,2018-10-16T00:00:00
277962,36.7848,Great,Kitchen and Dining,Knives,128494,Pink,NO,90.0,37.24105,2018-06-12T00:00:00,2018-08-18T00:00:00
282964,69.1848,Great,Kitchen and Dining,Spoons,127386,Blue,Lo,89.955,70.05955,2018-06-18T00:00:00,2018-07-17T00:00:00
301841,45.8769,Perfect,Kitchen and Dining,Forks,110294,Gray,NO,63.0,48.55455,2018-07-30T00:00:00,2018-08-06T00:00:00
287829,18.4605,Perfect,Kitchen and Dining,Appliances,117924,Blue,NO,26.955,19.53215,2018-07-01T00:00:00,2018-07-11T00:00:00
319897,60.45,Perfect,Outdoor Storage,Shelves,144022,Blue,8.,117.0,,2018-09-11T00:00:00,2018-09-11T00:00:00
300303,100.4028,Great,Kitchen and Dining,Spoons,126618,Red,Re,143.955,,2018-07-28T00:00:00,2018-08-03T00:00:00
295417,43.3473,Perfect,Outdoor Storage,Shelves,126479,Green,7.,103.5,51.26605,2018-07-16T00:00:00,2018-08-26T00:00:00
277492,60.4584,Perfect,Kitchen and Dining,Spoons,846001,Red,Re,71.1,55.09955,2018-06-10T00:00:00,2018-06-10T00:00:00
298841,185.4699,Perfect,Kitchen and Dining,Forks,863074,Red,NO,314.955,196.28455,2018-07-26T00:00:00,2018-08-14T00:00:00
289171,19.0929,Great,Outdoor Furniture,Desks,136932,Gray,M,59.4,26.83,2018-07-07T00:00:00,2018-10-04T00:00:00
278617,18.3954,Perfect,Kids Furniture,Dining Tables,116872,Black,S,54.945,,2018-06-10T00:00:00,2018-10-18T00:00:00
309146,122.2344,OK,Kitchen and Dining,Spoons,897244,Orange,Re,269.1,139.24955,2018-08-20T00:00:00,2018-08-23T00:00:00
282212,141.3072,Perfect,Outdoor Furniture,Side Tables,138783,Black,L,242.0,153.93,2018-06-17T00:00:00,2018-07-30T00:00:00
299748,87.0588,Perfect,Outdoor Storage,Boxes,106373,Brown,8.,162.0,88.66605,2018-07-27T00:00:00,2018-08-07T00:00:00
277559,124.8525,Perfect,Kitchen and Dining,Spoons,117155,Blue,Re,161.1,,2018-06-10T00:00:00,2018-06-12T00:00:00
282286,29.2248,Perfect,Outdoor Furniture,Desks,110794,Blue,XL,71.5,31.83,2018-06-18T00:00:00,2018-07-30T00:00:00
301086,143.5644,Perfect,Kitchen and Dining,Gadgets,128163,Red,NO,179.955,130.83455,2018-07-31T00:00:00,2018-08-29T00:00:00
302156,160.4016,Perfect,Kitchen and Dining,Forks,129381,Blue,NO,314.955,,2018-08-06T00:00:00,2018-08-13T00:00:00
311357,30.6993,Perfect,Outdoor Furniture,Side Tables,141131,Blue,XS,86.9,38.83,2018-08-25T00:00:00,2018-09-27T00:00:00
322549,42.3429,Perfect,Kitchen and Dining,Spoons,113905,Gray,Re,58.455,44.81455,2018-09-20T00:00:00,2018-09-23T00:00:00
287708,70.2,Perfect,Kids Storage,Boxes,895324,Gray,9.,117.0,,2018-07-01T00:00:00,2018-09-25T00:00:00
292332,79.2504,Perfect,Kids Furniture,Rugs,152410,Yellow,M,253.0,,2018-07-12T00:00:00,2018-07-22T00:00:00
286211,97.8918,Perfect,Kids Furniture,Rugs,134449,Blue,S,273.9,123.83,2018-06-25T00:00:00,2018-08-26T00:00:00
311291,22.0224,Perfect,Kitchen and Dining,Spoons,866771,Green,Re,38.655,23.30955,2018-08-24T00:00:00,2018-09-11T00:00:00
313764,283.5864,Great,Kitchen and Dining,Spoons,148331,Gray,Lo,350.1,,2018-08-31T00:00:00,2018-08-31T00:00:00
281892,115.992,Perfect,Outdoor Furniture,Rugs,885728,Purple,S,196.9,,2018-06-16T00:00:00,2018-09-27T00:00:00
320731,62.775,Great,Outdoor Storage,Boxes,137529,Blue,7,135.0,,2018-09-15T00:00:00,2018-10-18T00:00:00
290322,113.6808,Perfect,Outdoor Furniture,Rugs,132669,Black,S,273.9,123.83,2018-07-07T00:00:00,2018-08-14T00:00:00
312524,57.6936,Great,Outdoor Storage,Boxes,112647,Gray,8.,125.955,65.29105,2018-08-30T00:00:00,2018-09-27T00:00:00
299982,214.164,OK,Kitchen and Dining,Spoons,110922,Blue,Re,314.1,243.96955,2018-07-28T00:00:00,2018-07-29T00:00:00
305560,48.5568,Perfect,Kitchen and Dining,Spoons,127390,Blue,NO,53.955,,2018-08-11T00:00:00,2018-08-16T00:00:00
308660,56.7864,Perfect,Outdoor Storage,Shelves,148889,Gray,7.,85.5,,2018-08-19T00:00:00,2018-09-19T00:00:00
278346,97.1568,Perfect,Kitchen and Dining,Spoons,129063,Green,Re,107.955,,2018-06-12T00:00:00,2018-07-11T00:00:00
288581,23.6034,Perfect,Outdoor Furniture,Desks,134385,Black,XL,75.9,,2018-07-02T00:00:00,2018-07-17T00:00:00
273761,119.3934,OK,Kitchen and Dining,Wine Glasses,878451,Green,L,234.0,157.94955,2018-07-17T00:00:00,2018-07-17T00:00:00
279670,26.298,Great,Kids Storage,Envelopes,707779,other,7,58.5,29.76105,2018-06-12T00:00:00,2018-10-19T00:00:00
317271,46.035,Great,Kids Storage,Shelves,127895,Green,9,99.0,,2018-09-08T00:00:00,2018-09-30T00:00:00
292716,25.6824,Perfect,Kids Furniture,Desks,153772,Blue,L,55.0,,2018-07-13T00:00:00,2018-08-16T00:00:00
317725,61.9659,Great,Kitchen and Dining,Spoons,881573,Red,Re,94.455,72.86455,2018-09-08T00:00:00,2018-09-14T00:00:00
305080,98.4312,OK,Kitchen and Dining,Spoons,896031,Purple,Re,143.955,112.13455,2018-08-11T00:00:00,2018-08-23T00:00:00
280064,59.4,Perfect,Outdoor Storage,Boxes,113733,Brown,9.,99.0,,2018-06-15T00:00:00,2018-06-28T00:00:00
317788,66.2904,Perfect,Outdoor Storage,Shelves,159019,Black,8.,99.0,,2018-09-08T00:00:00,2018-09-30T00:00:00
322111,74.4,Perfect,Outdoor Storage,Shelves,155500,Blue,10,144.0,,2018-09-16T00:00:00,2018-09-20T00:00:00
290809,58.9992,Great,Kids Furniture,Rugs,111927,Green,M,130.9,82.93,2018-07-08T00:00:00,2018-07-21T00:00:00
288806,64.8,OK,Outdoor Storage,Boxes,120605,Black,10,135.0,,2018-07-03T00:00:00,2018-07-24T00:00:00
317802,88.29,Perfect,Kitchen and Dining,Spoons,107475,Blue,Re,98.1,,2018-09-08T00:00:00,2018-09-20T00:00:00
303773,208.5525,Perfect,Kitchen and Dining,Forks,110817,Red,NO,269.1,,2018-08-06T00:00:00,2018-08-08T00:00:00
313737,19.5486,Perfect,Kitchen and Dining,Forks,130783,Gray,NO,45.0,,2018-08-30T00:00:00,2018-09-16T00:00:00
321813,92.442,Great,Outdoor Storage,Boxes,109016,Gray,7.,161.955,121.48455,2018-09-16T00:00:00,2018-09-28T00:00:00
330395,151.6086,OK,Kitchen and Dining,Wine Glasses,123124,Red,M,287.955,,2018-10-09T00:00:00,2018-10-30T00:00:00
274309,49.7178,Great,Kids Furniture,Side Tables,111534,Khaki,32,108.9,,2018-06-04T00:00:00,2018-09-09T00:00:00
309891,37.8138,Perfect,Outdoor Furniture,Rugs,117390,Black,L,151.8,47.83,2018-08-20T00:00:00,2018-10-29T00:00:00
282603,29.1183,Perfect,Kids Storage,Boxes,134103,Brown,8,134.955,34.43605,2018-06-18T00:00:00,2018-08-20T00:00:00
289546,78.9264,Perfect,Kitchen and Dining,Wine Glasses,895648,Red,On,139.5,71.92955,2018-07-06T00:00:00,2018-08-19T00:00:00
298024,97.1676,OK,Kitchen and Dining,Forks,115520,Green,NO,134.955,,2018-07-22T00:00:00,2018-08-21T00:00:00
302474,78.4188,Great,Kitchen and Dining,Spoons,896025,Yellow,Lo,152.955,79.40955,2018-08-06T00:00:00,2018-08-18T00:00:00
315282,54.0,Perfect,Kids Storage,Shelves,113826,Brown,15,90.0,,2018-09-01T00:00:00,2018-09-05T00:00:00
314728,242.19,Perfect,Kitchen and Dining,Spoons,127862,Orange,Lo,269.1,,2018-09-01T00:00:00,2018-09-22T00:00:00
306063,243.7809,Perfect,Kitchen and Dining,Spoons,110927,Blue,Lo,332.1,257.99455,2018-08-12T00:00:00,2018-08-14T00:00:00
277245,112.995,Great,Kitchen and Dining,Appliances,118595,Gray,S/,162.0,,2018-06-10T00:00:00,2018-06-11T00:00:00
282884,37.1196,Great,Outdoor Furniture,Rugs,127274,Brown,S,98.945,44.93,2018-06-24T00:00:00,2018-08-29T00:00:00
296441,39.0135,Great,Kids Storage,Shelves,114563,Blue,11,99.0,51.26605,2018-07-22T00:00:00,2018-08-20T00:00:00
289265,69.0525,Perfect,Kitchen and Dining,Serving Utensils,153273,Black,NO,89.1,,2018-07-05T00:00:00,2018-07-25T00:00:00
326385,68.4294,Great,Kitchen and Dining,Spoons,107475,Blue,Re,98.1,,2018-09-24T00:00:00,2018-09-29T00:00:00
275177,158.0814,Perfect,Kitchen and Dining,Spoons,862532,Gray,Re,269.1,167.29955,2018-06-04T00:00:00,2018-08-26T00:00:00
302308,54.2268,Perfect,Kitchen and Dining,Spoons,797113,Not color,NO,60.255,,2018-08-03T00:00:00,2018-08-10T00:00:00
319668,73.44,OK,Outdoor Storage,Boxes,150522,Blue,8,153.0,,2018-09-14T00:00:00,2018-10-21T00:00:00
298097,67.3971,Great,Kitchen and Dining,Spoons,135470,Blue,L,107.955,,2018-07-22T00:00:00,2018-08-13T00:00:00
290826,84.4344,Perfect,Kids Furniture,Beds,159795,Blue,XL,154.0,,2018-07-07T00:00:00,2018-10-24T00:00:00
299934,229.7484,Perfect,Kitchen and Dining,Spoons,895824,Orange,Lo,269.1,209.37455,2018-07-28T00:00:00,2018-08-12T00:00:00
301195,200.322,Great,Kitchen and Dining,Forks,894015,Khaki,NO,350.1,235.55455,2018-07-30T00:00:00,2018-07-31T00:00:00
316822,87.48,Great,Kids Storage,Bags,138122,White,41,162.0,,2018-09-04T00:00:00,2018-09-04T00:00:00
283006,146.7288,Perfect,Outdoor Furniture,Rugs,135265,Gray,XS,352.0,159.83,2018-06-22T00:00:00,2018-09-18T00:00:00
309646,63.9576,OK,Kitchen and Dining,Spoons,881577,Red,Re,94.455,72.86455,2018-08-20T00:00:00,2018-09-05T00:00:00
289101,45.4119,Great,Outdoor Furniture,Rugs,894338,Red,M,141.9,63.83,2018-07-07T00:00:00,2018-07-19T00:00:00
