item_parent_sku,pageviews
112618,1794
135352,1790
112186,1787
115288,1783
130258,1780
136261,1779
135114,1771
113906,1769
128692,1766
114593,1763
107472,1757
124269,1753
105434,1750
851727,1750
104335,1742
894963,1739
878094,1729
131636,1720
105810,1708
894317,1706
895084,1706
126619,1705
778149,1704
122165,1695
110014,1689
124523,1687
895747,1686
845300,1685
104643,1684
105141,1683
118248,1675
112185,1669
113903,1667
105385,1662
101781,1661
826025,1649
789101,1648
129839,1641
100363,1631
100364,1630
122167,1623
109586,1616
117268,1616
128058,1615
102591,1614
114409,1612
111167,1611
123043,1611
878092,1610
113840,1607
116284,1605
117505,1601
111410,1599
102024,1598
112127,1592
109863,1590
125122,1584
119905,1573
127389,1572
127476,1571
131143,1569
102297,1564
116534,1562
112680,1559
107473,1558
100335,1555
101251,1554
127031,1554
104211,1552
101797,1550
896028,1549
122171,1546
128787,1544
132721,1543
123980,1542
100105,1541
126620,1541
116401,1533
118278,1533
111409,1529
684087,1527
114626,1526
110001,1525
114920,1523
881269,1522
127861,1520
141415,1519
129637,1511
103897,1509
110206,1499
116103,1498
881016,1498
115012,1494
813279,1494
101177,1492
896025,1492
117299,1488
101254,1486
105678,1479
134775,1477
100400,1473
827541,1473
131001,1472
855886,1472
118481,1468
100685,1466
146929,1462
133170,1455
882768,1453
129314,1452
125993,1451
130723,1450
129652,1448
114380,1447
897410,1446
128577,1444
103274,1443
853372,1442
102294,1440
113162,1438
122501,1438
110843,1434
139682,1432
103876,1430
894999,1430
125275,1424
125097,1422
111873,1421
122163,1416
117101,1415
109619,1414
128854,1412
125266,1411
115517,1407
115289,1396
122593,1391
896863,1390
102488,1388
127776,1386
117154,1385
113976,1382
796065,1377
117255,1371
101291,1370
112841,1366
124927,1366
897653,1366
134292,1365
879904,1358
104628,1356
105976,1350
150904,1350
136274,1346
152370,1346
862532,1346
123124,1339
103372,1337
868498,1336
880476,1336
125304,1334
133361,1334
130255,1332
894901,1331
101701,1328
105495,1327
117305,1327
893177,1323
104533,1319
117676,1317
148193,1314
145223,1311
707782,1307
129417,1306
120431,1298
101648,1297
153724,1297
109252,1292
109400,1289
864550,1282
101410,1278
109754,1278
877084,1278
110865,1276
128304,1272
129831,1272
127770,1271
110349,1269
123587,1269
129548,1269
132252,1269
137530,1269
104212,1267
139074,1263
123546,1260
137563,1260
114352,1259
118140,1259
880096,1259
103275,1258
127066,1258
104302,1257
118924,1256
122169,1255
894605,1255
107010,1254
705534,1253
144017,1251
111093,1247
111814,1247
117659,1247
136589,1244
898098,1244
131319,1242
120948,1241
104890,1238
136335,1237
109883,1236
117958,1236
109184,1235
110009,1229
110819,1227
132450,1226
127462,1225
781300,1224
110315,1222
103387,1220
151090,1218
105902,1217
123454,1217
896043,1216
115294,1212
850185,1211
150280,1210
103233,1208
118850,1208
134274,1208
894998,1206
874841,1204
118931,1203
122560,1201
126118,1199
112610,1197
109577,1194
114516,1194
127624,1194
111403,1193
106613,1192
110660,1192
136291,1192
122695,1190
161135,1190
127431,1189
111334,1188
153067,1186
870779,1185
867215,1183
119904,1180
151651,1180
862432,1179
113718,1177
114625,1177
142740,1176
898420,1174
133775,1172
136658,1171
102181,1170
113511,1170
128998,1165
128316,1162
865152,1162
100182,1161
105252,1160
108911,1159
124449,1159
143966,1157
125342,1154
127030,1154
891305,1151
109349,1149
886350,1149
102674,1148
106611,1144
106375,1140
142978,1139
102594,1138
128687,1138
781640,1136
110602,1135
119170,1133
129064,1131
113108,1130
895928,1128
129807,1127
100822,1125
118808,1125
881235,1125
880810,1124
104619,1123
115081,1120
148331,1120
103049,1119
118812,1111
105260,1110
114622,1110
110835,1109
138016,1109
132682,1107
861360,1105
148589,1104
128305,1103
108939,1100
100089,1099
116003,1099
128391,1099
101706,1097
111904,1096
117303,1095
895824,1095
103293,1092
123532,1092
846522,1092
117881,1090
121693,1090
834150,1090
721740,1089
105496,1088
895324,1087
144323,1086
103818,1085
105378,1084
111416,1083
111526,1082
148973,1081
106398,1080
108554,1080
144369,1080
100287,1075
124527,1074
898082,1073
105058,1072
125069,1072
109914,1071
126550,1070
846419,1068
115520,1067
104901,1066
118291,1065
115290,1064
139046,1063
112609,1061
121214,1061
886649,1059
128301,1058
113969,1055
100128,1053
153034,1052
128313,1051
878776,1050
896862,1049
110658,1048
125525,1047
113842,1046
108424,1045
152014,1045
876310,1045
133002,1044
120228,1043
125932,1043
880701,1041
102794,1040
107207,1040
113163,1040
151718,1038
122257,1037
128306,1036
112182,1035
894338,1035
105393,1034
121525,1033
141210,1032
103296,1031
118663,1031
130483,1031
110318,1030
116013,1030
117302,1029
101708,1027
112624,1027
116320,1027
117965,1027
110088,1025
133556,1025
123372,1022
142506,1022
102544,1021
131142,1019
102751,1018
706762,1018
127284,1017
118021,1016
110026,1015
116859,1015
105289,1014
113733,1013
100110,1011
102606,1010
120883,1010
104582,1008
101629,1007
140655,1006
153077,1006
123639,1005
114561,1004
109794,1003
104851,1002
102132,999
797113,999
881009,997
101643,996
104627,995
881555,994
112334,993
898083,993
103004,991
103936,991
895828,991
152935,990
896262,990
897244,990
130254,989
134161,988
127021,986
130257,986
144737,985
103944,983
114647,982
126821,982
112641,981
129649,981
894015,981
102736,979
109692,979
104843,978
127768,978
895306,978
123207,977
870482,976
888922,975
118290,974
154920,973
103282,972
126657,972
141359,972
880828,972
850235,971
677675,966
124682,965
126953,965
104896,964
120897,964
129651,964
101754,963
110023,963
109758,960
887943,959
120230,958
102182,957
129315,955
895536,955
101748,954
114310,953
119294,952
158800,950
117451,949
129539,947
150906,947
105901,946
830737,946
102403,944
134450,944
120663,943
121532,943
104500,942
113019,942
847721,942
870628,942
138330,939
866263,938
113134,936
846538,935
882214,935
895632,933
108666,932
111812,929
141055,927
100935,925
149057,925
127982,923
120605,921
131642,920
105677,919
113290,919
103362,916
104074,915
110707,915
118209,915
885899,915
110395,914
110487,914
115173,914
133903,911
119409,909
129242,908
111269,906
116592,906
113233,905
133757,905
101403,902
109943,902
110351,899
133966,899
113809,898
132585,898
141056,896
894805,896
117961,895
131049,894
627255,892
895822,892
149895,891
117270,890
893998,890
105156,889
122166,889
134974,887
110604,886
115961,886
124740,886
135411,886
146748,885
114820,884
108408,882
131635,881
133640,881
148488,881
100351,880
102060,880
809068,880
895923,879
123832,878
144179,877
861361,877
117465,876
123383,875
866772,875
895647,873
126035,871
140692,871
895985,869
104104,868
125348,866
127283,866
141846,866
112209,864
117265,864
117861,864
145656,863
895965,862
129316,861
134474,861
848242,860
128312,859
895849,859
110293,858
134096,858
109999,856
116452,854
123108,854
119114,853
133416,853
132754,851
863039,851
103086,849
112617,849
116750,849
141932,848
892941,848
105374,846
109872,846
118277,846
139593,846
882626,846
101274,845
122502,845
881577,845
100475,844
136434,844
119226,843
120890,843
893303,842
112440,841
143659,841
880827,841
109909,840
109960,839
126478,839
112193,837
112738,836
828303,836
106817,834
111581,833
120472,833
849529,833
118415,832
123486,832
121524,831
126480,831
102415,829
131439,829
151220,829
117982,827
887952,827
127336,825
129881,825
137308,825
895973,825
134834,824
113118,823
110319,822
150003,822
109988,821
133184,821
848072,821
126528,820
110915,818
111810,818
103527,816
118151,816
100891,815
101902,814
103288,814
133009,813
107944,812
846372,811
867242,811
110822,810
132759,810
104747,809
112645,809
895825,809
127863,808
865628,807
129538,806
114100,802
119903,802
120124,802
105373,801
131197,800
131475,800
103133,798
152636,798
897158,798
112592,797
136927,796
108334,793
109183,793
104109,792
852550,792
897125,792
788626,791
827497,790
861034,790
102262,789
110549,789
859978,789
113101,787
138015,787
887796,787
105698,786
126373,786
117962,785
895669,785
128953,783
136794,782
435109,781
111304,780
118413,780
119453,780
120893,780
147129,779
110820,778
879823,778
888480,778
125130,777
881011,777
109871,775
124972,775
130357,775
151930,775
153237,774
104321,773
117259,773
132762,773
128981,772
136754,772
133901,771
806475,771
117304,769
102265,768
124962,768
118539,767
133879,767
112699,764
129033,764
139591,763
881575,763
104108,762
124973,762
133990,762
103732,761
113181,760
136956,760
880808,759
895646,759
103338,758
104733,758
116480,757
139884,757
109451,755
145475,755
131288,754
143652,754
130848,752
134971,752
106633,751
144806,751
895337,751
115372,749
120041,749
148191,749
118311,748
834717,748
129486,747
892877,747
139271,746
140316,746
144321,744
105502,743
142304,743
881781,743
109366,742
112099,742
129522,742
138819,742
155007,742
881902,742
103451,740
133982,740
102546,738
108834,738
120884,738
864982,738
139580,737
888133,736
881556,735
130642,734
103828,733
114420,733
125328,733
117940,732
104383,731
120603,731
115969,730
126935,730
131465,730
150005,730
110950,727
895732,727
123752,726
142727,726
149171,726
112626,725
150757,725
881234,725
112217,724
828988,724
102186,723
107899,723
897127,723
105218,721
128691,721
130256,721
846692,721
887976,720
110892,718
136929,718
878467,718
101641,717
126955,717
880605,717
136538,716
895557,716
102398,715
109460,715
118578,715
118926,715
129727,715
102356,714
105387,714
112595,714
101628,713
127625,713
112676,711
120661,711
131418,711
150002,711
110724,710
114563,709
128574,709
137584,709
126129,708
129488,708
100338,707
110941,707
133410,707
133758,707
149350,707
878533,707
888955,707
105267,706
110021,706
149648,706
112650,705
142271,704
126501,703
856453,703
100571,702
110882,702
125265,702
127665,702
147448,702
128694,701
123976,700
122022,699
151935,699
111588,698
128826,698
136296,696
136622,696
110316,695
117356,695
152267,695
110113,693
112451,693
144861,693
126223,691
105161,690
119473,690
106914,689
848243,688
857477,688
880723,688
104301,687
151938,687
123586,686
131048,686
895323,685
111972,684
136295,684
870760,684
142413,683
128012,682
870759,682
118334,681
133877,681
847187,681
894016,681
130312,680
882202,680
112707,679
136977,679
111133,678
113823,678
134849,677
140785,677
110081,676
118449,676
142983,676
119469,675
110828,674
113492,674
121846,673
133524,673
828471,673
891688,673
111306,672
115957,672
122575,671
150837,671
893005,671
894915,670
144022,669
870761,669
132028,667
848420,667
109862,666
115014,666
120222,666
152678,666
830341,666
866773,666
117935,665
118414,665
134527,665
123199,664
105584,663
107786,663
111973,663
128165,663
139728,663
879791,663
896089,663
118747,662
119282,662
126204,662
101986,661
115773,661
142198,661
119472,660
108785,658
114431,658
117957,658
145217,658
880131,658
894625,657
894949,657
117806,656
135082,656
135265,656
113574,655
116355,655
123571,655
127983,655
139117,655
878093,655
114294,654
114656,654
148485,654
895094,654
104378,653
130061,653
867803,653
879850,653
110705,652
126290,652
147658,652
110391,651
127338,651
827884,650
865573,650
110320,649
111805,649
128119,649
128699,649
121293,647
130053,647
138954,646
132758,645
103368,644
104446,644
111284,644
119335,644
124734,644
105834,643
114678,643
117326,643
118558,643
120664,643
130029,643
125690,642
128686,641
119328,640
126372,640
150761,640
127082,639
114336,638
103276,637
105721,636
111880,636
125250,636
144704,636
111097,635
128139,635
133777,635
113327,634
113797,633
125231,633
125684,633
693155,633
144557,632
147075,632
150655,632
150276,631
100476,630
105693,629
126939,629
144075,629
867023,629
896044,629
102744,628
106632,628
895681,628
102346,627
115321,627
127409,627
131191,627
153728,627
143017,626
150154,626
772922,626
102818,625
103766,625
114646,625
153596,625
102192,624
113431,624
114222,624
127989,624
140804,624
102299,623
114198,623
127829,623
112794,621
127303,621
131639,621
895644,621
116485,620
147158,619
863074,619
116523,618
119496,617
114623,616
142211,616
149522,616
135001,615
142396,615
133635,614
139592,614
106628,613
100428,612
129973,612
141506,612
108261,611
110479,611
110844,611
123118,611
152942,611
101729,610
110659,609
147942,609
100337,608
119224,608
157128,608
109632,607
127933,607
142118,607
872494,607
897079,607
116138,606
119468,606
122869,606
133415,606
153525,606
880097,606
109001,605
117240,605
125269,605
106910,604
111823,604
128635,604
117264,603
123369,603
143290,603
883200,603
119333,602
120475,602
104889,601
111175,601
132755,601
142507,601
887858,601
120589,600
120662,600
119439,599
153138,599
158728,599
103429,598
104922,598
109018,598
120076,598
131477,598
138777,598
151398,598
823933,598
104225,597
120882,597
153874,597
871418,597
140607,596
100221,595
113430,595
121838,595
133983,595
145499,595
148630,595
880127,595
100065,594
105439,594
110158,594
111092,594
122164,594
129246,594
125890,593
133004,593
148484,593
125446,592
105106,591
127133,591
128118,591
895629,591
895946,590
116568,589
127692,589
846781,589
112141,587
120832,587
121722,587
164151,587
830932,587
846715,587
103182,586
116572,586
127342,586
154794,586
109865,585
109257,584
128990,584
110392,583
104912,582
112973,582
114478,582
144459,582
148945,582
888796,582
109256,581
111634,581
112646,581
803146,581
128700,580
143222,580
153236,579
104132,578
122708,578
123918,578
131362,578
152375,578
118225,577
873051,577
101778,575
146609,575
829822,575
108774,574
139702,574
117430,573
119398,573
131643,573
137592,573
850427,573
111296,572
135383,572
749943,572
818889,572
829820,572
894970,572
898287,572
107694,571
112621,571
121397,571
113524,570
116594,570
119919,570
122504,570
123592,570
134977,570
788958,570
110847,569
113401,569
120385,569
142886,569
113736,568
119491,568
127828,568
134577,568
120818,566
127067,566
878095,566
880483,565
107208,564
119917,564
125831,564
132576,564
133965,564
134095,564
897062,564
110209,563
117157,563
128439,563
873955,563
880793,563
855419,562
881692,562
101230,561
108919,561
125044,561
126477,561
130495,561
134976,561
136882,561
114796,560
118815,560
120929,560
138925,560
107211,559
127274,559
146920,559
848376,559
104171,558
120088,557
149520,557
104742,556
114208,556
119221,556
105057,555
140591,555
155326,555
116562,554
895083,554
102354,553
118011,553
892626,553
130655,552
774122,552
114858,551
123780,551
892886,551
150291,550
899059,550
112759,549
118538,549
119327,549
128633,548
140683,548
145244,548
834555,548
111070,547
143820,547
153614,547
103151,546
104139,546
139051,546
894806,546
138847,545
108162,544
118154,544
122474,544
127765,544
111875,543
127271,543
135611,543
142763,543
113406,542
123979,542
106996,541
107565,541
144398,541
148192,541
153861,540
828421,540
892141,540
123256,538
850195,538
882032,538
897499,538
101627,537
154696,537
853249,537
111906,536
125734,536
129277,536
138751,536
140653,536
110497,535
117169,535
138960,535
139889,535
155357,535
887859,535
892839,535
109119,534
132029,534
143212,533
895645,533
136517,532
102007,531
111330,531
151928,531
152338,531
118667,530
120807,530
137342,530
145022,530
145486,530
815408,530
110709,529
118378,529
120877,529
118361,528
131867,528
134503,528
880784,528
897257,528
102056,527
112101,527
139267,527
870112,527
128514,526
133295,526
134446,526
146671,526
877372,526
892440,526
106251,525
111918,525
113571,525
117561,525
123129,525
125091,525
130279,525
132254,525
137433,525
105159,524
111140,524
116573,524
124413,524
895648,524
112218,523
137913,523
797111,523
111985,522
125861,522
133462,522
125070,520
143199,520
153731,520
863402,520
887797,520
898199,520
101838,519
111300,519
138944,519
100831,518
105450,518
106737,518
117225,518
119337,518
126848,518
132750,517
142578,517
123670,516
110330,515
113762,515
114353,515
126172,515
151939,515
897371,515
120681,514
128489,514
129808,514
892194,514
101359,513
106216,513
120952,513
129202,512
138138,512
878915,512
111326,511
134688,511
144802,511
898282,511
104048,510
104107,510
110350,510
113260,510
113712,510
118228,509
120828,509
129835,509
135413,509
110817,508
119517,508
131101,508
893927,508
104925,507
107633,507
118690,507
119108,507
105442,506
870483,506
128759,505
131286,505
885861,505
111417,504
126349,504
117177,503
885265,503
895056,503
118314,502
115930,501
151945,501
103871,500
105285,500
110098,500
118363,500
133391,500
896970,500
104618,499
104845,499
892311,499
116993,498
120835,498
147930,498
152673,498
103361,497
105695,497
122823,497
125295,497
152047,497
882036,497
111323,496
144666,496
153328,496
707779,496
109668,495
143109,495
100131,494
103918,494
104311,494
110789,494
112883,494
120607,494
127466,494
803672,494
103919,493
135472,493
101905,492
132084,492
155044,492
867002,492
107769,491
113923,491
115643,491
119038,491
141671,491
894948,491
103894,490
104172,490
116895,490
126124,490
129339,490
105828,489
106413,489
866688,489
118366,488
121711,488
125952,488
105760,487
132554,487
892171,487
100934,486
111651,486
121909,486
122097,486
126479,486
130030,486
132716,486
141599,486
865477,486
881300,486
897124,486
103639,485
108951,485
119525,485
149863,485
111628,482
117222,482
120019,481
124917,481
132771,481
136058,481
102662,480
106635,480
109253,480
122488,480
128250,480
128928,480
133521,480
148246,480
151504,480
774690,480
809520,480
817219,480
109761,479
133026,479
134491,479
882197,479
895335,479
109471,478
119208,478
133273,478
899060,478
116525,477
125701,477
141511,477
142981,477
105398,476
120931,476
125645,476
142117,476
151446,476
104924,475
108401,475
117224,475
134204,475
136248,475
149289,475
114676,474
114701,474
118239,474
133633,474
137666,474
139055,474
143225,474
153600,474
895106,474
135760,473
137741,473
834630,473
109987,472
111362,472
125786,472
130491,472
142305,472
115929,471
118520,471
127083,471
136511,471
892213,470
118381,469
126130,469
128923,469
145492,469
147957,469
107780,468
112059,468
125738,468
131959,468
114666,467
126252,467
897077,467
102559,466
125453,466
125967,466
133126,466
145516,466
872965,466
873267,466
100266,465
112372,465
113808,465
135375,465
151741,465
120502,464
120889,464
142548,464
102743,463
103000,463
122881,463
123594,463
124327,463
126042,463
132521,463
139084,463
125687,462
125697,462
126660,462
894000,462
896684,462
104445,461
113258,461
129122,461
134947,461
137594,461
103300,460
125127,460
128192,460
132606,460
142704,460
847528,460
881598,460
102379,459
111270,459
119324,459
134072,459
139575,459
144792,459
144835,459
118843,458
131328,458
147761,458
846535,458
102604,457
102754,457
112232,457
119652,457
126658,457
139886,457
104502,456
114437,456
119539,456
119834,456
123419,456
153625,456
898392,456
105745,455
118231,455
125953,455
132610,455
136835,455
144805,455
104556,454
108443,454
113804,454
125545,454
134164,454
137529,454
151853,454
898358,454
126895,453
131257,453
138917,453
140195,453
104158,452
105904,452
126227,452
127895,452
137919,452
880475,452
899138,452
132774,451
139154,451
144087,451
149862,451
152960,451
119789,450
121451,450
146295,450
104157,449
107882,449
127825,449
139579,449
141505,449
102661,448
106916,448
137655,448
114412,447
118748,447
120789,447
126553,447
130091,447
137121,447
150863,447
102235,446
128052,446
132064,446
143269,446
155267,446
128227,445
763713,445
896622,445
126371,444
880835,444
898780,444
110401,443
113685,443
132065,443
109259,442
111584,442
119845,442
121398,442
127213,442
135261,442
138850,442
150651,442
711635,442
777222,442
896068,442
117675,441
127502,441
134776,441
110000,440
117963,440
142278,440
105147,439
114211,439
118801,439
123263,439
125496,439
129026,439
110512,438
134449,438
137185,438
139049,438
135845,437
139157,437
152641,437
878414,437
101367,436
105633,436
112454,436
117999,436
120888,436
126549,436
848397,436
110563,435
117967,435
118359,435
123943,435
134541,435
144044,435
697096,435
879477,435
880677,435
102244,434
107776,434
112125,434
134399,434
146257,434
638690,434
108038,433
109470,433
111693,433
117315,433
120978,433
126664,433
158571,433
102009,432
126812,432
132658,432
895850,432
110794,431
119607,431
123313,431
135569,431
145495,431
892627,431
113255,430
119253,430
119548,430
126141,430
138992,430
151944,430
158794,430
881045,430
112130,429
125132,429
131675,429
144192,429
897073,429
897408,429
101241,428
114335,428
122574,428
124559,428
142598,428
109910,427
110241,427
845409,427
102290,426
110097,426
113104,426
113735,426
126048,426
131325,426
133876,426
145464,426
106858,425
117117,425
150705,425
885009,425
107485,424
120477,424
105702,423
119946,423
126958,423
134909,423
106395,422
110841,422
129337,422
130150,422
134978,422
862474,422
896024,422
105923,421
107362,420
112870,420
127689,420
102221,419
118845,419
119302,419
122616,419
125692,419
107355,418
118848,418
150403,418
859278,418
103092,417
109820,417
115498,416
130846,416
132853,416
116992,415
118699,415
119345,415
120391,415
140685,415
881693,415
110924,414
126107,414
127115,414
128365,413
128618,413
129499,413
108952,412
110013,412
119648,412
873046,412
126566,411
128495,411
132657,411
132904,411
105084,410
105542,410
111396,410
118921,410
125221,410
126563,410
154105,410
882034,410
895322,410
111630,409
118970,409
120063,409
142646,409
153240,409
158875,409
109815,408
121837,408
123731,408
125696,408
131285,408
133821,408
133871,408
136198,408
137948,408
113839,407
122933,407
132685,407
146603,407
101709,406
105024,406
112042,406
120806,406
897668,406
116435,405
117711,405
144460,405
102016,404
106064,404
114840,404
117933,404
120403,404
126719,404
149974,404
846495,404
102487,403
111202,403
111567,403
111641,403
111835,403
115676,403
126302,403
132081,403
139158,403
892876,403
102930,402
124092,402
125783,402
136216,402
148917,402
869800,402
117267,401
125622,401
132868,401
135271,401
138421,401
150652,401
877258,401
104331,400
105384,400
118516,400
120534,400
134668,400
150896,400
126140,399
128838,399
138434,399
143270,399
111582,398
115704,398
139062,398
119088,397
125679,397
127076,397
132512,397
878218,397
886210,397
124117,396
137667,396
138500,396
148918,396
153581,396
891930,396
119513,395
120964,395
122160,395
125994,395
127368,395
128827,395
133964,395
865355,395
870226,395
890608,395
104797,394
114329,394
114764,394
128908,394
133167,394
151470,394
102330,393
125761,393
133954,393
150598,393
158731,393
830776,393
878972,393
892236,393
895750,393
111999,392
116318,392
126142,392
135987,392
879682,392
895305,392
895518,392
125043,391
125100,391
137370,391
141054,391
889599,391
114340,390
117922,390
123604,390
129983,390
102187,389
105451,389
116409,389
116831,389
133057,389
102173,388
117660,388
125040,388
886064,388
117064,387
137914,387
138964,387
151936,387
152355,387
153584,387
845512,387
102010,386
112143,386
112207,386
116422,386
117529,386
118698,386
119824,386
137351,386
137785,386
140796,386
155500,386
158552,386
866012,386
113573,385
119020,385
122722,385
139885,385
141570,385
143219,385
152639,385
830552,385
895090,385
897080,385
110630,384
126710,384
133124,384
134722,384
139883,384
112822,383
115625,383
117673,383
120854,383
120870,383
127022,383
127900,383
150807,383
153599,383
104091,382
120527,382
121533,382
125488,382
127041,382
145374,382
793374,382
834820,382
897132,382
112795,381
113105,381
120196,381
866776,381
886896,381
897026,381
112065,380
116931,380
118416,380
120827,380
126312,380
130058,380
135479,380
871210,380
106214,379
107801,379
134459,379
865362,379
897597,379
123172,378
125632,378
132975,378
134667,378
143018,378
885987,378
100387,377
109003,377
109015,377
127346,377
128454,377
129276,377
132643,377
138918,377
850206,377
894017,377
102370,376
103225,376
105903,376
113432,376
125128,376
126974,376
135414,376
895372,376
100615,375
102190,375
116454,375
116584,375
120838,375
122815,375
128956,375
129657,375
140123,375
143047,375
146771,375
101712,374
108187,374
109435,374
117497,374
120977,374
125121,374
138543,374
143752,374
105637,373
114333,373
132671,373
132731,373
474391,373
112411,372
113429,372
116561,372
116596,372
117254,372
119464,372
123414,372
145147,372
145760,372
101239,371
113499,371
119902,371
137546,371
148889,371
149977,371
106727,370
113496,370
133600,370
138338,370
144811,370
881007,370
893905,370
110770,369
117355,369
133638,369
134417,369
144045,369
861767,369
871335,369
111742,368
117390,368
129381,368
130572,368
850502,368
858385,368
102737,367
106299,367
112058,367
114440,367
120503,367
125211,367
892622,367
100106,366
105219,366
105262,366
119009,366
136879,366
151128,366
898229,366
101235,365
102999,365
105952,365
112145,365
129517,365
132083,365
134101,365
137663,365
140892,365
881690,365
884550,365
893148,365
895174,365
108930,364
112194,364
116486,364
118587,364
120227,364
132729,364
138915,364
148358,364
895082,364
104928,363
109734,363
111281,363
116588,363
118821,363
125008,363
132901,363
133013,363
135752,363
137784,363
105877,362
106988,362
118218,362
127419,362
128302,362
130420,362
130427,362
852793,362
105120,361
106608,361
111704,361
116453,361
120508,361
121284,361
121875,361
125736,361
132390,361
879232,361
106736,360
109337,360
110114,360
112606,360
114347,360
117530,360
118243,360
126143,360
128678,360
135211,360
139082,360
151678,360
109292,359
112648,359
113825,359
118554,359
119222,359
128144,359
132641,359
134954,359
140759,359
141845,359
707627,359
105858,358
113319,358
116688,358
133418,358
102658,357
103042,357
105636,357
106425,357
106473,357
106656,357
108782,357
113264,357
113569,357
117908,357
117956,357
118377,357
118834,357
124967,357
129713,357
130269,357
132857,357
136583,357
138512,357
796831,357
879540,357
895734,357
118465,356
127337,356
128979,356
130062,356
891444,356
119873,355
125825,355
155541,355
892939,355
105357,354
109711,354
113936,354
127110,354
136585,354
116423,353
118866,353
119117,353
125066,353
143036,353
102331,352
107812,352
108673,352
116440,352
121734,352
128321,352
129278,352
145521,352
109762,351
111510,351
132727,351
133152,351
140756,351
861791,351
887282,351
105616,350
110486,350
110493,350
114662,350
123992,350
129028,350
133905,350
134630,350
136797,350
866902,350
111669,349
113256,349
121084,349
136620,349
100104,348
128516,348
133386,348
134675,348
898743,348
104016,347
105274,347
109998,347
118020,347
134078,347
134750,347
138956,347
141901,347
143941,347
126047,346
149170,346
153556,346
881272,346
103608,345
105480,345
110603,345
112530,345
113530,345
114105,345
116094,345
127418,345
130714,345
110827,344
111149,344
111432,344
114704,344
129554,344
132694,344
105899,343
111328,343
111991,343
112582,343
121876,343
124343,343
125649,343
125850,343
129031,343
768101,343
102188,342
118115,342
124514,342
151691,342
865054,342
897076,342
103725,341
105697,341
113133,341
116987,341
119835,341
125099,341
125685,341
134628,341
134739,341
863106,341
112789,340
117074,340
118585,340
128186,340
103967,339
136635,339
138126,339
145465,339
115797,338
119899,338
125672,338
142199,338
104174,337
110360,337
113078,337
118447,337
124744,337
132067,337
138842,337
865356,337
102819,336
103612,336
